Date,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"2024-04-26","Miles Mikolas","STL",1,4,0,2,1,0,0,0,0,0,0,0,0,0.5,0.5,0.75,0.5359718352556229,9803
"2024-04-26","Zac Gallen","ARI",1,4,9,1,0,0,1,1,1,0,0,0,2,0.25,0.25,1,0.5149495005607605,19291
"2024-04-26","Chris Sale","ATL",1,5,9,1,0,0,1,1,1,1,0,0,0,0.25,0.4,1,0.5501052856445312,10603
"2024-04-27","Carlos Rodon","NYY",1,4,9,1,0,0,1,1,1,0,0,0,1,0.25,0.25,1,0.5149495005607605,16137
"2024-04-27","Ronel Blanco","HOU",1,5,18,2,0,0,2,2,1,0,0,0,0,0.4,0.4,1,0.5888517498970032,19407
"2024-04-27","Chris Paddack","MIN",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20099
"2024-04-27","Brady Singer","KCR",1,5,0,0,0,0,0,0,0,2,0,0,1,0,0.4,0,0.2762913703918457,25377
"2024-04-27","Yusei Kikuchi","TOR",1,5,9,2,1,1,1,1,0,0,0,0,0,0.5,0.4,1.25,0.5712645053863525,20633
"2024-04-28","Logan Gilbert","SEA",1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,22250
"2024-04-28","Jose Quintana","NYM",1,5,0,1,1,0,0,0,0,1,0,0,0,0.25,0.4,0.5,0.3900310039520264,11423
"2024-04-28","Ben Lively","CLE",1,5,0,1,0,0,0,0,0,1,0,0,1,0.25,0.4,0.25,0.3150378346443176,14932
"2024-04-29","Nick Lodolo","CIN",1,4,9,1,0,0,1,1,1,0,0,0,1,0.25,0.25,1,0.5149495005607605,26378
"2024-04-29","Jameson Taillon","CHC",1,5,9,2,0,0,1,1,1,0,0,0,0,0.4,0.4,1,0.5888517498970032,11674
"2024-04-29","Jake Irvin","WSN",1,4,0,1,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.22111518681049347,21504
"2024-04-29","Ryan Pepiot","TBR",1,4,0,1,0,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.22111518681049347,26221
"2024-04-29","Trevor Rogers","MIA",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22286
"2024-04-30","Dean Kremer","BAL",1,3,0,0,0,0,0,0,0,1,0,0,0,0,0.333333333,0,0.23024280865987143,19350
"2024-04-30","Mitch Keller","PIT",1,5,0,0,0,0,0,0,0,1,0,1,1,0,0.4,0,0.28254079818725586,17594
"2024-05-01","Chris Sale","ATL",1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10603
"2024-05-01","Miles Mikolas","STL",1,4,0,1,1,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0.3148566484451294,9803
"2024-05-01","Colin Rea","MIL",1,4,0,1,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.22111518681049347,12317
"2024-05-02","Carlos Rodon","NYY",1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16137
"2024-05-03","Yusei Kikuchi","TOR",1,4,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0,0.17268210649490356,20633
"2024-05-03","Ronel Blanco","HOU",1,5,0,1,0,0,0,0,0,1,0,0,1,0.25,0.4,0.25,0.3150378346443176,19407
"2024-05-03","Jose Quintana","NYM",1,4,0,1,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.22111518681049347,11423
"2024-05-03","Chris Paddack","MIN",1,5,0,1,1,0,0,0,0,0,0,0,1,0.2,0.2,0.4,0.25188531875610354,20099
"2024-05-03","Brady Singer","KCR",1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,25377
"2024-05-04","Trevor Rogers","MIA",1,4,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0,0.17268210649490356,22286
